source,target
ChEMBL:1405447,DOID:2235
ChEMBL:1405447,OMIM:613679
ChEMBL:1575,DOID:10283
ChEMBL:1624,OMIM:255900
ChEMBL:1624,DOID:11634
ChEMBL:1624,DOID:7188
ChEMBL:1624,DOID:1781
ChEMBL:1624,OMIM:138790
ChEMBL:1624,OMIM:138800
ChEMBL:1624,DOID:12176
ChEMBL:1624,OMIM:300273
ChEMBL:1624,OMIM:606082
ChEMBL:1624,DOID:757
ChEMBL:1624,DOID:12839
ChEMBL:1624,DOID:7997
ChEMBL:1544,DOID:1781
ChEMBL:1544,OMIM:255900
ChEMBL:1544,DOID:11634
ChEMBL:1544,DOID:757
ChEMBL:1544,DOID:12839
ChEMBL:1544,DOID:7997
ChEMBL:1544,OMIM:138790
ChEMBL:1544,OMIM:138800
ChEMBL:1544,DOID:12176
ChEMBL:1544,OMIM:300273
ChEMBL:1544,OMIM:606082
ChEMBL:1544,DOID:7188
ChEMBL:1201139,DOID:1612
ChEMBL:1201139,DOID:1380
ChEMBL:559,OMIM:144010
ChEMBL:559,OMIM:603813
ChEMBL:559,OMIM:603776
ChEMBL:559,OMIM:500005
ChEMBL:559,OMIM:143890
ChEMBL:559,DOID:2487
ChEMBL:559,DOID:2487
ChEMBL:559,OMIM:144020
ChEMBL:559,DOID:0090105
ChEMBL:559,OMIM:144600
ChEMBL:559,OMIM:238600
ChEMBL:559,OMIM:144300
ChEMBL:559,OMIM:617347
ChEMBL:559,DOID:1168
ChEMBL:559,OMIM:144650
ChEMBL:559,OMIM:615947
ChEMBL:442,OMIM:119915
ChEMBL:109,OMIM:615590
ChEMBL:109,OMIM:611154
ChEMBL:109,OMIM:606187
ChEMBL:109,OMIM:609636
ChEMBL:109,DOID:0110042
ChEMBL:109,DOID:0110051
ChEMBL:109,DOID:0110046
ChEMBL:109,DOID:0110045
ChEMBL:109,OMIM:608907
ChEMBL:109,DOID:10652
ChEMBL:109,DOID:0110050
ChEMBL:109,OMIM:607413
ChEMBL:109,DOID:0110040
ChEMBL:109,OMIM:611073
ChEMBL:109,DOID:0110039
ChEMBL:109,OMIM:605055
ChEMBL:109,OMIM:615711
ChEMBL:109,OMIM:300756
ChEMBL:109,OMIM:104300
ChEMBL:109,DOID:0110038
ChEMBL:109,OMIM:611155
ChEMBL:109,DOID:0110044
ChEMBL:109,OMIM:607116
ChEMBL:109,DOID:0110048
ChEMBL:109,DOID:0110049
ChEMBL:109,DOID:0110047
ChEMBL:109,OMIM:611152
ChEMBL:109,DOID:0110035
ChEMBL:109,OMIM:104310
ChEMBL:109,OMIM:502500
ChEMBL:109,OMIM:125320
ChEMBL:109,OMIM:607822
ChEMBL:109,OMIM:605526
ChEMBL:109,DOID:0110041
ChEMBL:109,OMIM:606889
ChEMBL:109,OMIM:615080
ChEMBL:109,OMIM:604154
ChEMBL:109,OMIM:609790
ChEMBL:109,DOID:0110036
ChEMBL:109,DOID:0110043
ChEMBL:109,DOID:3312
ChEMBL:109,DOID:1825
ChEMBL:109,DOID:0050708
ChEMBL:109,DOID:0060172
ChEMBL:109,OMIM:104130
ChEMBL:109,DOID:12382
ChEMBL:1201558,OMIM:188030
ChEMBL:1201558,OMIM:608232
ChEMBL:1201558,DOID:8552
ChEMBL:1201558,DOID:0060761
ChEMBL:1201558,DOID:9538
ChEMBL:1201558,DOID:9514
ChEMBL:1201558,OMIM:254500
ChEMBL:1201558,DOID:6536
ChEMBL:1201558,DOID:11168
